1,1,5,5,132,144
1,2,10,10,132,144
1,3,15,15,132,144
1,4,20,20,132,144
1,5,25,25,132,144
1,6,30,30,132,144
1,7,35,35,132,144
1,8,40,40,132,144
1,9,45,45,132,144
1,10,50,50,132,144
1,11,55,55,132,144
1,12,60,60,132,144
2,1,5,10,1412,12
2,2,10,20,1412,12
2,3,20,40,1412,12
2,4,40,80,1412,12
2,5,80,160,1412,12
2,6,120,240,1412,12
2,7,160,320,1412,12
2,8,200,400,1412,12
2,9,230,460,1412,12
2,10,240,480,1412,12
2,11,250,500,1412,12
2,12,250,500,1412,12
3,1,4,5,151,24
3,2,6,7,151,24
3,3,3,4,151,24
3,4,4,4,151,24
3,5,4,5,151,24
3,6,6,7,151,24
3,7,3,4,151,24
3,8,4,4,151,24
3,9,4,5,151,24
3,10,6,7,151,24
3,11,3,4,151,24
3,12,4,4,151,24
4,1,50,50,11,233
4,2,75,75,11,233
4,3,100,100,11,233
4,4,125,125,11,233
4,5,150,150,11,233
4,6,175,175,11,233
4,7,200,200,11,233
4,8,225,225,11,233
4,9,250,250,11,233
4,10,275,275,11,233
4,11,300,300,11,233
4,12,325,325,11,233
4,13,3250,3250,11,233
